YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2019,,2019-07-15,Poland,13.0,11.0,Rzeszow - Jasionka (EPRZ)
2022,MAY,2022-05-09,Spain,16.0,,Melilla (GEML)
2020,,2020-09-08,Morocco,24.0,24.0,Mohammed V International (GMMN)
2021,,2021-11-03,Portugal,94.0,88.0,Porto (LPPR)
2021,,2021-11-11,Spain,3.0,5.0,Madrid - Torrejon (LETO)
2016,,2016-11-26,Türkiye,101.0,102.0,Izmir - Adnan Menderes (LTBJ)
2018,FEB,2018-02-03,Germany,186.0,178.0,Dusseldorf (EDDL)
2020,SEP,,Spain,50.0,50.0,Alicante (LEAL)
2019,AUG,,Belgium,343.0,,Brussels (EBBR)
2021,OCT,2021-10-20,Norway,26.0,26.0,Alesund (ENAL)
2020,OCT,2020-10-12,France,2.0,2.0,Quimper-Pluguffan (LFRQ)
2021,NOV,2021-11-27,Lithuania,12.0,13.0,Kaunas (EYKA)
2021,DEC,2021-12-07,France,5.0,4.0,Tours-Val de Loire (LFOT)
2020,AUG,2020-08-09,Italy,,86.0,Naples (LIRN)
2021,APR,2021-04-23,Spain,12.0,12.0,Santiago (LEST)
2019,,2019-06-11,Norway,28.0,28.0,Kristiansand Kjevik (ENCN)
2018,,2018-03-19,France,13.0,10.0,Lyon-Bron (LFLY)
2019,,2019-01-11,Italy,85.0,87.0,Bologna (LIPE)
2016,,2016-08-09,Croatia,1.0,1.0,Lučko (LDZL)
2022,APR,2022-04-07,France,568.0,570.0,Paris-Charles-de-Gaulle (LFPG)
2018,SEP,2018-09-17,France,4.0,3.0,Chambéry-Aix-les-Bains (LFLB)
2021,JUN,2021-06-20,France,1.0,2.0,Quimper-Pluguffan (LFRQ)
2021,,2021-12-10,France,6.0,6.0,Tarbes-Lourdes Pyrénées (LFBT)
2018,APR,2018-04-07,France,2.0,1.0,Saint-Nazaire-Montoir (LFRZ)
2020,,2020-12-13,Spain,88.0,90.0,Gran Canaria (GCLP)
2020,OCT,2020-10-24,United Kingdom,87.0,83.0,London - Gatwick (EGKK)
2016,,2016-10-19,Belgium,18.0,24.0,Antwerp (EBAW)
2019,AUG,2019-08-03,Spain,3.0,5.0,Vitoria (LEVT)
2019,JUN,2019-06-03,Spain,387.0,385.0,Palma de Mallorca (LEPA)
2018,NOV,2018-11-22,Türkiye,587.0,,Istanbul Atatürk (LTBA)
2021,,2021-10-02,Germany,40.0,36.0,Nuremberg (EDDN)
