YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2016,NOV,2016-11-26,Türkiye,101,102,Izmir - Adnan Menderes (LTBJ)
2018,FEB,2018-02-03,Germany,186,178,Dusseldorf (EDDL)
2020,SEP,2020-09-29,Spain,50,50,Alicante (LEAL)
2019,AUG,2019-08-06,Belgium,343,338,Brussels (EBBR)
2021,OCT,2021-10-20,Norway,26,26,Alesund (ENAL)
2020,OCT,2020-10-12,France,2,2,Quimper-Pluguffan (LFRQ)
2021,NOV,2021-11-27,Lithuania,12,13,Kaunas (EYKA)
2021,DEC,2021-12-07,France,5,4,Tours-Val de Loire (LFOT)
2020,AUG,2020-08-09,Italy,85,86,Naples (LIRN)
2021,APR,2021-04-23,Spain,12,12,Santiago (LEST)
2019,JUN,2019-06-11,Norway,28,28,Kristiansand Kjevik (ENCN)
2018,MAR,2018-03-19,France,13,10,Lyon-Bron (LFLY)
2019,JAN,2019-01-11,Italy,85,87,Bologna (LIPE)
2016,AUG,2016-08-09,Croatia,1,1,Lučko (LDZL)
2022,APR,2022-04-07,France,568,570,Paris-Charles-de-Gaulle (LFPG)
2018,SEP,2018-09-17,France,4,3,Chambéry-Aix-les-Bains (LFLB)
2021,JUN,2021-06-20,France,1,2,Quimper-Pluguffan (LFRQ)
2021,DEC,2021-12-10,France,6,6,Tarbes-Lourdes Pyrénées (LFBT)
2018,APR,2018-04-07,France,2,1,Saint-Nazaire-Montoir (LFRZ)
2020,DEC,2020-12-13,Spain,88,90,Gran Canaria (GCLP)
2020,OCT,2020-10-24,United Kingdom,87,83,London - Gatwick (EGKK)
2016,OCT,2016-10-19,Belgium,18,24,Antwerp (EBAW)
2019,AUG,2019-08-03,Spain,3,5,Vitoria (LEVT)
2019,JUN,2019-06-03,Spain,387,385,Palma de Mallorca (LEPA)
2018,NOV,2018-11-22,Türkiye,587,587,Istanbul Atatürk (LTBA)
2021,OCT,2021-10-02,Germany,40,36,Nuremberg (EDDN)
2019,DEC,2019-12-28,Greece,2,2,Kefallinia (LGKF)
2016,APR,2016-04-18,Germany,148,154,Berlin - Brandenburg (EDDB)
2021,AUG,2021-08-02,Portugal,215,244,Lisbon (LPPT)
2017,DEC,2017-12-29,Belgium,46,47,Liège (EBLG)
2021,APR,2021-04-11,Armenia,19,22,Yerevan (UDYZ)
2017,NOV,2017-11-29,Ireland,1,1,Waterford (EIWF)
2018,SEP,2018-09-09,United Kingdom,64,63,Southampton (EGHI)
2016,MAY,2016-05-08,Greece,4,4,Skiathos (LGSK)
2018,APR,2018-04-22,Portugal,2,2,Flores (LPFL)
2021,DEC,2021-12-19,Italy,24,26,Brindisi (LIBR)
2017,MAY,2017-05-31,Portugal,278,269,Lisbon (LPPT)
2016,FEB,2016-02-16,United Kingdom,212,210,London - Stansted (EGSS)
2019,OCT,2019-10-15,Norway,13,14,Kirkenes Høybuktmoen (ENKR)
2019,MAR,2019-03-27,France,4,4,La Rochelle-Ile de Ré (LFBH)
2020,FEB,2020-02-24,United Kingdom,185,185,London - Luton (EGGW)
2016,SEP,2016-09-23,United Kingdom,116,113,Bristol (EGGD)
2016,JUN,2016-06-02,Greece,292,294,Athens (LGAV)
2021,MAR,2021-03-29,Estonia,20,19,Tallinn (EETN)
2016,MAR,2016-03-04,Italy,19,19,Brindisi (LIBR)
2017,MAY,2017-05-18,France,4,2,Saint-Etienne-Bouthéon (LFMH)
2018,APR,2018-04-21,Slovenia,30,34,Ljubljana (LJLJ)
2019,MAY,2019-05-11,France,2,3,Châlons-Vatry (LFOK)
2020,SEP,2020-09-02,France,6,7,Poitiers-Biard (LFBI)
2017,AUG,2017-08-07,Ireland,339,349,Dublin (EIDW)
2017,JUN,2017-06-18,Germany,13,15,Saarbruecken (EDDR)
2020,SEP,2020-09-21,Portugal,70,72,Porto (LPPR)
2016,MAR,2016-03-18,Austria,26,29,Graz (LOWG)
