YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2020,JAN,2020-01-02,Germany,6.0,6.0,Saarbruecken (EDDR)
2020,JAN,2020-01-02,Germany,126.0,122.0,Stuttgart (EDDS)
2020,JAN,2020-01-02,Germany,226.0,223.0,Berlin - Tegel (EDDT)
2020,JAN,2020-01-02,Germany,65.0,64.0,Hanover (EDDV)
2020,JAN,2020-01-02,Germany,23.0,25.0,Bremen (EDDW)
2020,JAN,2020-01-02,United Kingdom,64.0,63.0,Belfast - Aldergrove (EGAA)
2020,JAN,2020-01-02,United Kingdom,45.0,44.0,Belfast - City Airport (EGAC)
2020,JAN,2020-01-02,United Kingdom,5.0,5.0,Londonderry - Eglinton (EGAE)
2020,JAN,2020-01-02,United Kingdom,131.0,128.0,Birmingham (EGBB)
2020,JAN,2020-01-02,United Kingdom,238.0,232.0,Manchester (EGCC)
2020,JAN,2020-01-02,United Kingdom,79.0,77.0,Bristol (EGGD)
2020,JAN,2020-01-02,United Kingdom,180.0,183.0,London - Luton (EGGW)
2020,JAN,2020-01-02,United Kingdom,45.0,43.0,Southampton (EGHI)
2020,JAN,2020-01-02,United Kingdom,,13.0,Biggin Hill (EGKB)
2020,JAN,2020-01-02,United Kingdom,373.0,373.0,London - Gatwick (EGKK)
2020,JAN,2020-01-02,United Kingdom,103.0,101.0,London - City (EGLC)
2020,JAN,2020-01-02,United Kingdom,22.0,22.0,Farnborough (EGLF)
2020,JAN,2020-01-02,United Kingdom,643.0,641.0,London - Heathrow (EGLL)
2020,JAN,2020-01-02,United Kingdom,40.0,42.0,Newcastle (EGNT)
2020,JAN,2020-01-02,United Kingdom,73.0,74.0,East Midlands (EGNX)
2020,JAN,2020-01-02,United Kingdom,51.0,51.0,Aberdeen (EGPD)
2020,JAN,2020-01-02,United Kingdom,102.0,98.0,Glasgow (EGPF)
2020,JAN,2020-01-02,United Kingdom,167.0,166.0,Edinburgh (EGPH)
2020,JAN,2020-01-02,United Kingdom,280.0,265.0,London - Stansted (EGSS)
2020,JAN,2020-01-02,Greece,262.0,261.0,Athens (LGAV)
2020,JAN,2020-01-02,Greece,17.0,17.0,Heraklion (LGIR)
2020,JAN,2020-01-02,Greece,2.0,1.0,Kefallinia (LGKF)
2020,JAN,2020-01-02,Greece,4.0,4.0,Kos (LGKO)
2020,JAN,2020-01-02,Greece,5.0,5.0,Corfu (LGKR)
2020,JAN,2020-01-02,Greece,2.0,2.0,Mikonos (LGMK)
2020,JAN,2020-01-02,Greece,4.0,4.0,Aktion (LGPZ)
