city,month,temperature,norm
Санкт-Петербург,Январь,-7.2,46
Санкт-Петербург,Апрель,5.2,37
Санкт-Петербург,Июль ,19.1,84
Санкт-Петербург,Октябрь,6.2,64
Екатеринбург,Январь,-12.6,25
Екатеринбург,Апрель,4.7,31
Екатеринбург,Июль,18.9,93
Екатеринбург,Октябрь,3.6,41
Владивосток,Январь,-11.9,12
Владивосток,Апрель,5.3,43
Владивосток,Июль,18.1,159
Владивосток,Октябрь,9.2,67
